# Foglio1
Causale	Tipo Soggetto	"Matricola INPS Codice INPS Filiale azienda (cfr. tabella ""Formati"")"	Inizio riferimento	Fine riferimento	Modalità di utilizzo (1)								
PFLP	CONTRIBUTI LIBERI PROFESSIONISTI – Definizione agevolata dei processi verbali di constatazione – art. 1 del DL n. 119/2018	Formato 7	MMAAAA	MMAAAA	D								
Errata	Non identificato	Formati 1/2/3/4/5/6/7/8/9/10	E' considerato comunque errato	E' considerato comunque errato	D								
APM1	Contributi artigiani – Definizione agevolata dei processi verbali di constatazione – art. 5-quater del d.lgs. n. 218/1997	Formato 7	MMAAAA	MMAAAA	D								
CPM1	Contributi commercianti – Definizione agevolata dei processi verbali di constatazione – art. 5-quater del d.lgs. n. 218/1997	Formato 7	MMAAAA	MMAAAA	D								
LPM1	Contributi gestione separata liberi professionisti – Definizione agevolata dei processi verbali di constatazione – art. 5-quater del d.lgs. n. 218/1997	Formato 7	MMAAAA	MMAAAA	D								
EBNL	EBINAL - Ente Bilaterale Nazionale del Lavoro	Formato 1	MMAAAA	0	D								
PREV	Fondo Sanitario PREVILAVORO ITALIA (PREVILAVORO ITALIA)	Formato 1	MMAAAA	0	D								
SARC	Fondo Bilaterale di Assistenza Sanitaria - SANARCOM (SANARCOM)	Formato 1	MMAAAA	0	D								
EBOS	Ente Bilaterale Operatori Sicurezza - (EBILOS)	Formato 1	MMAAAA	0	D								
MEDI	FONDO MEDIPREV - Fondo Integrativo del Servizio Sanitario Nazionale (MEDIPREV)	Formato 1	MMAAAA	0	D								
EBNU	Ente Bilaterale Nazionale di Unione (E.B.N.U.)	Formato 1	MMAAAA	0	D								
EFAR	EBIFARM - Ente Bilaterale Nazionale Farmacie Private (EBIFARM)	Formato 1	MMAAAA	0	D								
EBIO	Ente Bilaterale EN.BI.FO.SI e O.P.N. EN.BI.FO.SI (EN.BI.FO.SI e O.P.N. EN.BI.FO.SI)	Formato 1	MMAAAA	0	D								
EBMQ	Fondo EBM SALUTE (EBM SALUTE)	Formato 1	MMAAAA	0	D								
ENIL	EBINAIL - Ente Bilaterale Nazionale Intersettoriale Lavoro	Formato 1	MMAAAA	0	D								
PLAS	Aziende agricole per OTI e OTD - contribuzione pregressa	Formato 5	MMAAAA	MMAAAA	D								
SPCF	PC/CF - sanzioni civili	Formato 5	MMAAAA	MMAAAA	D								
RUGS	Rateazione Gestione separata	Formato 9	MMAAAA	MMAAAA	D								
SLAA	Lavoratori autonomi agricoli - sanzioni civili	Formato 5	MMAAAA	MMAAAA	D								
PPCF	PC/CF - contribuzione pregressa	Formato 5	MMAAAA	MMAAAA	D								
SLAS	Aziende agricole per OTI e OTD - sanzioni civili	Formato 5	MMAAAA	MMAAAA	D								
PLAA	Lavoratori autonomi agricoli - contribuzione pregressa	Formato 5	MMAAAA	MMAAAA	D								
ESAL	FONDO ASSISTENZA SANITARIA INTEGRATIVA CONFAPI (Enfea Salute)	Formato 1	MMAAAA	0	D								
FASS	FONDO di ASSISTENZA SANITARIA (F.AS.S.)	Formato 1	MMAAAA	0	D								
SAL1	FONDO SALUS (FONDO SALUS)	Formato 1	MMAAAA	0	D								
EBEN	E.BI.N.L. – Ente Bilaterale Nazionale del Lavoro	Formato 1	MMAAAA	0	D								
EPAB	E.PA.BIC. – Ente Bilaterale Paritetico	Formato 1	MMAAAA	0	D								
FAFP	FASIFAR - Fondo di Assistenza Sanitaria Integrativa per i dipendenti di Farmacie Private	Formato 1	MMAAAA	0	D								
FCBI	FCBI - Ente Bilaterale FOR.ITALY CIU	Formato 1	MMAAAA	0	D								
SANI	FONDOSANI - Fondo di Assistenza Sanitaria	Formato 1	MMAAAA	0	D								
6BIC	6EBIC	Formato 1	MMAAAA	0	D								
EBSC	Ente Nazionale Bilaterale Scuola non statale (ENBiScuNS)	Formato 1	MMAAAA	0	D								
ESBI	Ente Sviluppo Bilaterale Imprese per l’Italia (E.S.B.I.I.)	Formato 1	MMAAAA	0	D								
EBWO	Ente Bilaterale EB WORK	Formato 1	MMAAAA	0	D								
EISO	Ente Bilaterale Nazionale Innovazione e Sviluppo Organismo Paritetico (EBINNOVA)	Formato 1	MMAAAA	0	D								
FUEB	Ente Bilaterale FESICA CONFSAL UNCI (FUEB)	Formato 1	MMAAAA	0	D								
ECON	Ente Bilaterale Confederale (EBICON)	Formato 1	MMAAAA	0	D								
EPOP	Ente Bilaterale Nazionale Plurisettore - Organismo Paritetico (EBIPS)	Formato 1	MMAAAA	0	D								
ESE6	Ente Bilaterale per i Servizi ai Lavoratori (E.SE.LAV.)	Formato 1	MMAAAA	0	D								
EBOP	ENBITALIA OPN (ENBITALIA OPN)	Formato 1	MMAAAA	0	D								
EIMP	Fondo di Assistenza Sanitaria Integrativa SANILAV (SANILAV)	Formato 1	MMAAAA	0	D								
CARE	Ente Bilaterale (EBICON)	Formato 1	MMAAAA	0	D								
SANL	Ente Bilaterale Imprese Private (EBIP)	Formato 1	MMAAAA	0	D								
EBON	Fondo di Assistenza Sanitaria Integrativa al SSN (INNOVACARE)	Formato 1	MMAAAA	0	D								
NOTE	(1)	"L'indicazione del termine ""D"" nella colonna MODALITA' DI UTILIZZO sta a significare che il tributo  deve essere utilizzato solo per il versamento di imposte a debito."											
		"L'indicazione del termine ""R"" nella colonna MODALITA' DI UTILIZZO sta a significare che il tributo deve essere utilizzato solo per fruire di importi a credito."											
		"L'indicazione del termine ""E"" nella colonna  MODALITA' DI UTILIZZO sta a significare che il tributo può essere utilizzato  sia per il versamento di imposte a debito che per fruire di importi a credito."											
# Foglio2

# Foglio3

